id,symbol,name,usd,usd_market_cap,usd_24h_vol,usd_24h_change,last_updated_at,rank,coinGecko_link
bilaxy-token,bia,Bilaxy Token,0,0,546607,-3,2020/12/31,2699,https://www.coingecko.com/en/coins/bilaxy-token
billetcoin,blt,Billetcoin,0,0,24,-20,2020/12/31,2700,https://www.coingecko.com/en/coins/billetcoin
bimcoin,bim,Bimcoin,0,0,0,,2020/12/25,2701,https://www.coingecko.com/en/coins/bimcoin
binanceidr,bidr,BIDR,0,0,1140807,1,2020/12/31,2702,https://www.coingecko.com/en/coins/binanceidr
binance-krw,BKRW,Binance KRW,0,0,159267,0,2020/12/31,2703,https://www.coingecko.com/en/coins/binance-krw
binarium,bin,Binarium,0,0,0,,2020/12/31,2704,https://www.coingecko.com/en/coins/binarium
bincentive,bcnt,Bincentive,0,0,16366,-2,2020/12/31,2705,https://www.coingecko.com/en/coins/bincentive
bintex-futures,bntx,Bintex Futures,0,0,517057,-7,2020/12/31,2706,https://www.coingecko.com/en/coins/bintex-futures
biocrypt,bio,BioCrypt,0,0,0,,2020/12/30,2707,https://www.coingecko.com/en/coins/biocrypt
biokkoin,bkkg,Biokkoin,16,0,121,,2020/12/23,2708,https://www.coingecko.com/en/coins/biokkoin
biotron,btrn,Biotron,0,0,0,,2020/12/30,2709,https://www.coingecko.com/en/coins/biotron
bispex,bpx,Bispex,0,0,423299,-2,2020/12/31,2710,https://www.coingecko.com/en/coins/bispex
bitalgo,alg,Bitalgo,2,0,32525,,2020/10/19,2711,https://www.coingecko.com/en/coins/bitalgo
bitanium,bi,Bitanium,0,0,0,,2020/11/23,2712,https://www.coingecko.com/en/coins/bitanium
bitball-treasure,btrs,Bitball Treasure,128,0,194716,-5,2020/12/31,2713,https://www.coingecko.com/en/coins/bitball-treasure
bitbay,bay,BitBay,0,0,17,-46,2020/12/31,2714,https://www.coingecko.com/en/coins/bitbay
bitbook-gambling,bxk,Bitbook Gambling,0,0,5,,2020/12/25,2715,https://www.coingecko.com/en/coins/bitbook-gambling
bitboost,bbt,BitBoost,0,0,4660,-27,2020/12/31,2716,https://www.coingecko.com/en/coins/bitboost
bitcanna,bcna,BitCanna,0,0,3802,-5,2020/12/31,2717,https://www.coingecko.com/en/coins/bitcanna
bitcash,bitc,BitCash,0,0,23758,24,2020/12/31,2718,https://www.coingecko.com/en/coins/bitcash
bitceo,bceo,bitCEO,0,0,60255,,2020/12/31,2719,https://www.coingecko.com/en/coins/bitceo
bitcherry,bchc,BitCherry,0,0,46029,-3,2020/12/31,2720,https://www.coingecko.com/en/coins/bitcherry
bitclave,cat,BitClave,0,0,32,0,2020/12/31,2721,https://www.coingecko.com/en/coins/bitclave
bitcloud-pro,bpro,BitCloud Pro,0,0,38,-3,2020/12/31,2722,https://www.coingecko.com/en/coins/bitcloud-pro
